n,bs,gamma,wald,score
1,0.222,0.954,NA,1
2,0.462,0.95,0.636,1
3,0.682,0.951,0.734,1
4,0.716,0.942,0.789,1
5,0.785,0.948,0.81,1
6,0.802,0.947,0.85,1
7,0.808,0.951,0.853,1
8,0.804,0.957,0.854,1
9,0.829,0.959,0.877,1
10,0.84,0.955,0.874,1
11,0.827,0.954,0.877,1
12,0.861,0.951,0.88,1
13,0.847,0.956,0.884,1
14,0.846,0.948,0.885,1
15,0.875,0.938,0.893,1
16,0.86,0.949,0.887,1
17,0.862,0.942,0.888,1
18,0.883,0.942,0.864,1
19,0.899,0.951,0.904,1
20,0.883,0.96,0.914,1
21,0.869,0.945,0.89,1
22,0.884,0.942,0.904,1
23,0.886,0.944,0.912,1
24,0.913,0.959,0.903,1
25,0.897,0.95,0.904,1
26,0.908,0.946,0.9,1
27,0.905,0.958,0.919,1
28,0.911,0.956,0.923,1
29,0.917,0.945,0.918,1
30,0.908,0.959,0.933,1
31,0.899,0.962,0.926,1
32,0.901,0.943,0.923,1
33,0.914,0.955,0.925,1
34,0.903,0.952,0.932,1
35,0.916,0.957,0.937,1
36,0.911,0.951,0.922,1
37,0.918,0.941,0.922,1
38,0.896,0.952,0.936,1
39,0.913,0.953,0.933,1
40,0.916,0.952,0.923,1
41,0.917,0.952,0.925,1
42,0.914,0.949,0.926,1
43,0.913,0.95,0.934,1
44,0.925,0.955,0.937,1
45,0.894,0.948,0.934,1
46,0.915,0.945,0.916,1
47,0.915,0.957,0.951,1
48,0.908,0.946,0.919,1
49,0.915,0.941,0.926,1
50,0.913,0.95,0.921,1
51,0.909,0.943,0.933,1
52,0.916,0.953,0.931,1
53,0.918,0.961,0.926,1
54,0.914,0.947,0.922,1
55,0.919,0.953,0.927,1
56,0.916,0.944,0.932,1
57,0.924,0.94,0.915,1
58,0.92,0.946,0.935,1
59,0.933,0.942,0.929,1
60,0.923,0.958,0.945,1
61,0.919,0.953,0.937,1
62,0.935,0.945,0.921,1
63,0.926,0.946,0.926,1
64,0.919,0.956,0.943,1
65,0.921,0.945,0.929,1
66,0.931,0.948,0.932,1
67,0.922,0.941,0.926,1
68,0.928,0.955,0.938,1
69,0.931,0.957,0.941,1
70,0.93,0.966,0.945,1
71,0.922,0.955,0.944,1
72,0.926,0.955,0.943,1
73,0.924,0.949,0.942,1
74,0.93,0.954,0.942,1
75,0.936,0.956,0.942,1
76,0.932,0.954,0.946,1
77,0.934,0.946,0.935,1
78,0.917,0.957,0.941,1
79,0.935,0.944,0.933,1
80,0.929,0.944,0.934,1
81,0.928,0.962,0.954,1
82,0.92,0.963,0.939,1
83,0.935,0.959,0.938,1
84,0.921,0.955,0.942,1
85,0.923,0.949,0.935,1
86,0.942,0.938,0.927,1
87,0.925,0.964,0.955,1
88,0.932,0.951,0.934,1
89,0.934,0.959,0.941,1
90,0.935,0.939,0.924,1
91,0.927,0.946,0.932,1
92,0.912,0.96,0.946,1
93,0.939,0.955,0.942,1
94,0.926,0.939,0.936,1
95,0.927,0.96,0.945,1
96,0.933,0.942,0.926,1
97,0.921,0.952,0.939,1
98,0.933,0.947,0.93,1
99,0.923,0.959,0.946,1
100,0.92,0.952,0.936,1
101,0.955,0.954,0.951,1
102,0.927,0.953,0.946,1
103,0.933,0.964,0.957,1
104,0.917,0.948,0.933,1
105,0.931,0.951,0.941,1
106,0.929,0.958,0.957,1
107,0.936,0.952,0.947,1
108,0.941,0.946,0.938,1
109,0.924,0.945,0.935,1
110,0.935,0.957,0.947,1
111,0.924,0.937,0.932,1
112,0.933,0.945,0.944,1
113,0.919,0.957,0.945,1
114,0.931,0.953,0.937,1
115,0.935,0.954,0.931,1
116,0.936,0.945,0.932,1
117,0.942,0.95,0.926,1
118,0.937,0.954,0.946,1
119,0.925,0.953,0.946,1
120,0.941,0.954,0.945,1
121,0.925,0.955,0.94,1
122,0.926,0.947,0.944,1
123,0.934,0.956,0.95,1
124,0.922,0.957,0.942,1
125,0.933,0.946,0.943,1
126,0.92,0.955,0.943,1
127,0.935,0.96,0.938,1
128,0.943,0.951,0.942,1
129,0.947,0.952,0.945,1
130,0.939,0.95,0.946,1
131,0.944,0.953,0.936,1
132,0.935,0.953,0.945,1
133,0.925,0.955,0.943,1
134,0.941,0.949,0.937,1
135,0.949,0.943,0.93,1
136,0.919,0.937,0.934,1
137,0.932,0.948,0.948,1
138,0.929,0.959,0.942,1
139,0.948,0.943,0.939,1
140,0.934,0.952,0.941,1
141,0.942,0.948,0.939,1
142,0.94,0.944,0.928,1
143,0.931,0.958,0.948,1
144,0.943,0.936,0.937,1
145,0.937,0.948,0.939,1
146,0.934,0.944,0.936,1
147,0.945,0.957,0.954,1
148,0.929,0.935,0.934,1
149,0.938,0.948,0.944,1
150,0.95,0.956,0.958,1
151,0.941,0.948,0.933,1
152,0.946,0.963,0.963,1
153,0.931,0.96,0.95,1
154,0.931,0.952,0.941,1
155,0.953,0.947,0.947,1
156,0.935,0.949,0.939,1
157,0.921,0.957,0.951,1
158,0.937,0.966,0.961,1
159,0.943,0.943,0.93,1
160,0.937,0.939,0.933,1
161,0.92,0.94,0.937,1
162,0.938,0.95,0.938,1
163,0.922,0.95,0.946,1
164,0.929,0.947,0.936,1
165,0.926,0.941,0.942,1
166,0.937,0.954,0.944,1
167,0.934,0.949,0.946,1
168,0.923,0.951,0.948,1
169,0.944,0.95,0.942,1
170,0.939,0.947,0.935,1
171,0.952,0.961,0.944,1
172,0.93,0.961,0.952,1
173,0.93,0.947,0.945,1
174,0.934,0.951,0.945,1
175,0.928,0.949,0.942,1
176,0.934,0.947,0.931,1
177,0.935,0.953,0.949,1
178,0.949,0.949,0.947,1
179,0.951,0.942,0.944,1
180,0.938,0.949,0.931,1
181,0.934,0.946,0.939,1
182,0.945,0.954,0.942,1
183,0.946,0.953,0.948,1
184,0.942,0.943,0.942,1
185,0.95,0.942,0.936,1
186,0.956,0.951,0.942,1
187,0.947,0.961,0.948,1
188,0.941,0.947,0.95,1
189,0.939,0.956,0.943,1
190,0.94,0.957,0.954,1
191,0.943,0.946,0.945,1
192,0.939,0.943,0.943,1
193,0.927,0.944,0.937,1
194,0.931,0.949,0.948,1
195,0.935,0.949,0.943,1
196,0.941,0.951,0.944,1
197,0.946,0.958,0.946,1
198,0.942,0.959,0.948,1
199,0.954,0.949,0.94,1
200,0.931,0.957,0.953,1
201,0.928,0.945,0.945,1
202,0.938,0.959,0.946,1
203,0.939,0.947,0.942,1
204,0.94,0.946,0.943,1
205,0.945,0.941,0.938,1
206,0.941,0.951,0.943,1
207,0.938,0.949,0.945,1
208,0.939,0.953,0.946,1
209,0.941,0.95,0.945,1
210,0.934,0.96,0.95,1
211,0.936,0.953,0.947,1
212,0.945,0.953,0.941,1
213,0.942,0.958,0.958,1
214,0.952,0.954,0.94,1
215,0.924,0.95,0.942,1
216,0.94,0.944,0.949,1
217,0.938,0.963,0.955,1
218,0.95,0.953,0.948,1
219,0.944,0.948,0.943,1
220,0.941,0.953,0.944,1
221,0.945,0.947,0.938,1
222,0.953,0.956,0.949,1
223,0.941,0.943,0.932,1
224,0.942,0.947,0.943,1
225,0.942,0.958,0.953,1
226,0.941,0.941,0.935,1
227,0.936,0.951,0.949,1
228,0.948,0.946,0.936,1
229,0.939,0.946,0.947,1
230,0.955,0.947,0.942,1
231,0.943,0.948,0.946,1
232,0.947,0.937,0.926,1
233,0.934,0.938,0.938,1
234,0.943,0.927,0.92,1
235,0.944,0.943,0.943,1
236,0.941,0.951,0.946,1
237,0.95,0.948,0.945,1
238,0.951,0.953,0.947,1
